student_id,title,math,adv_math_elec,chem,phys,bio,ss,ee,elec_sci,cs,elec_hum,wl,as,en400
38202360,Trimester 1,0,1,1,0,0,0,2,0,0,0,0,0,1
38211684,Trimester 1,0,1,0,0,0,0,0,0,0,0,1,0,1
38216777,Trimester 1,0,2,0,0,1,0,0,0,0,0,1,0,0
38220080,Trimester 1,0,1,0,1,0,0,1,0,0,0,1,0,1
38220577,Trimester 1,0,1,0,0,1,0,0,0,0,0,1,0,1
38220596,Trimester 1,0,1,0,0,1,0,0,1,0,0,1,0,0
38231861,Trimester 1,0,2,0,0,0,1,1,0,0,1,0,0,1
38238093,Trimester 1,0,1,0,0,0,0,0,0,0,0,1,0,1
38239788,Trimester 1,0,1,0,0,0,0,1,0,0,0,1,0,0
38287634,Trimester 1,0,1,0,1,0,0,1,1,0,0,0,0,1
38289491,Trimester 1,0,1,0,1,1,0,0,0,0,1,1,0,1
38299415,Trimester 1,0,1,1,0,0,0,0,0,1,0,0,0,1
38305059,Trimester 1,0,1,0,1,1,1,0,0,0,0,1,0,0
38306143,Trimester 1,0,1,0,0,0,0,0,0,1,0,0,0,1
38307860,Trimester 1,0,1,0,0,1,0,0,0,1,0,1,0,1
38311096,Trimester 1,0,2,1,0,1,0,0,0,0,0,0,0,1
38313832,Trimester 1,0,1,0,0,1,0,1,0,0,0,0,0,0
38315644,Trimester 1,0,1,0,0,1,0,0,0,0,0,0,0,1
38317204,Trimester 1,0,1,0,0,0,0,0,0,0,0,1,0,1
38317791,Trimester 1,0,1,0,0,1,0,0,0,1,0,0,0,1
38318711,Trimester 1,0,1,0,0,1,0,0,0,0,0,0,0,2
38326984,Trimester 1,0,1,1,0,0,1,0,0,0,0,1,0,1
38327477,Trimester 1,0,1,0,0,1,0,1,0,0,0,1,0,1
38330624,Trimester 1,0,1,1,0,1,0,0,0,0,0,0,0,1
38330682,Trimester 1,0,1,0,0,1,0,0,0,1,0,0,0,0
38330868,Trimester 1,0,1,0,1,1,0,0,0,1,0,1,0,0
38331604,Trimester 1,0,1,0,0,2,1,0,0,0,0,0,0,1
38331826,Trimester 1,0,1,0,1,1,0,0,0,0,0,0,0,1
38331849,Trimester 1,0,1,0,0,1,0,0,1,0,0,1,0,0
38331987,Trimester 1,0,3,0,0,0,0,0,1,1,0,0,0,0
38332228,Trimester 1,0,1,1,0,0,0,0,0,0,1,1,0,1
38332461,Trimester 1,0,1,0,0,1,1,0,0,0,0,1,0,1
38333200,Trimester 1,0,0,1,0,2,0,0,0,0,0,0,0,0
38333244,Trimester 1,0,1,0,0,0,1,1,0,0,0,0,0,1
38333293,Trimester 1,0,0,0,0,1,0,0,1,1,0,1,0,1
38333349,Trimester 1,0,1,0,0,0,0,0,2,0,0,0,0,0
38333600,Trimester 1,0,1,1,0,0,0,1,0,1,0,0,0,0
38334624,Trimester 1,0,1,0,1,1,0,0,0,0,0,1,0,1
38334814,Trimester 1,0,0,0,0,1,0,0,0,0,0,1,0,1
38335106,Trimester 1,0,1,0,0,1,0,0,0,1,0,0,0,1
38336704,Trimester 1,0,1,1,1,0,0,0,0,0,0,0,0,0
38337263,Trimester 1,0,1,1,0,0,0,0,0,1,0,0,0,1
38340642,Trimester 1,0,1,1,0,0,0,1,0,0,0,0,0,1
38341967,Trimester 1,0,1,1,0,1,0,0,0,0,0,0,0,1
38342531,Trimester 1,0,1,1,0,0,0,0,0,0,0,0,0,1
38345790,Trimester 1,0,1,1,0,0,0,0,0,1,0,1,0,1
38346079,Trimester 1,0,1,0,0,1,1,0,0,1,0,0,0,0
38346106,Trimester 1,0,1,0,1,1,0,0,0,0,0,0,0,1
38346339,Trimester 1,0,1,0,0,1,2,0,0,0,0,1,0,0
38348534,Trimester 1,0,1,0,1,0,1,0,0,2,0,0,0,0
38348984,Trimester 1,0,1,0,0,0,1,0,1,0,0,0,0,1
38349850,Trimester 1,0,1,1,0,1,0,0,0,0,0,1,0,0
38349980,Trimester 1,0,1,1,0,1,1,0,0,0,0,1,0,0
38350090,Trimester 1,0,0,0,0,2,0,0,0,1,0,1,0,1
38350619,Trimester 1,0,2,0,0,0,0,0,0,0,0,0,0,1
38352904,Trimester 1,0,1,0,0,0,0,2,0,0,0,1,0,1
