student_id,title,math,adv_math_elec,chem,phys,bio,ee,elec_sci,cs,elec_hum,wl,as,en400,ss,as_ss,cs_ee_ss
11847786,Trimester 1,0,1,0,1,1,0,2,0,0,0,0,0,,,
11847804,Trimester 1,0,1,1,0,0,0,0,1,0,0,0,1,,,
11847812,Trimester 1,0,1,1,0,0,0,0,1,0,0,0,1,,,
11847905,Trimester 1,0,1,1,0,1,1,0,0,0,0,0,1,,,
11847939,Trimester 1,0,1,1,0,1,0,0,0,0,1,0,1,,,
11847976,Trimester 1,0,1,0,1,0,0,0,0,0,0,0,1,,,
11847986,Trimester 1,0,1,0,0,1,0,1,0,0,1,0,1,,,
11847999,Trimester 1,0,1,1,0,1,0,0,0,0,1,0,1,,,
11848030,Trimester 1,1,0,1,0,0,0,0,0,0,1,0,1,0,,
11848065,Trimester 1,0,1,0,0,1,1,1,0,0,0,0,1,,,
11848086,Trimester 1,0,1,0,1,0,1,0,0,0,1,0,1,,,
11848142,Trimester 1,0,3,0,0,0,0,0,1,0,0,0,0,,,
11848154,Trimester 1,0,1,0,1,0,1,1,0,0,0,0,0,,,
11848179,Trimester 1,0,1,1,0,1,0,0,0,0,1,0,1,,,
11848250,Trimester 1,1,0,0,1,0,1,0,0,0,1,0,1,0,,
11848307,Trimester 1,0,1,0,1,2,0,0,0,0,0,0,1,,,
11848326,Trimester 1,0,1,1,0,0,0,0,1,0,0,0,1,,,
11848334,Trimester 1,0,1,1,0,0,0,1,1,0,0,0,1,,,
11848362,Trimester 1,0,1,0,1,0,0,0,1,0,1,0,1,,,
11848367,Trimester 1,0,1,0,1,1,0,0,1,0,0,0,1,,,
11848388,Trimester 1,0,1,0,1,1,0,0,0,0,0,0,1,,,
11848417,Trimester 1,0,1,0,0,1,0,0,0,0,1,0,1,,,
11848433,Trimester 1,0,1,0,1,0,0,0,0,0,1,0,1,,,
11848453,Trimester 1,0,1,1,0,1,1,0,0,0,1,0,0,,,
11848462,Trimester 1,0,1,1,0,0,0,0,1,0,1,0,1,,,
11848480,Trimester 1,0,1,1,0,1,0,0,0,0,0,0,1,,,
11848484,Trimester 1,0,1,0,1,0,0,0,0,0,1,0,1,,,
11848515,Trimester 1,1,0,0,1,0,0,1,0,0,1,0,0,0,,
11848528,Trimester 1,0,1,0,0,2,0,0,0,0,0,0,2,,,
11848533,Trimester 1,0,0,1,0,0,0,1,0,0,1,0,1,,,
11848546,Trimester 1,1,1,0,1,0,1,0,0,0,0,0,1,0,,
11848548,Trimester 1,0,1,1,0,0,0,0,1,0,0,0,1,,,
11848553,Trimester 1,0,1,0,0,1,0,0,1,0,0,0,1,,,
11848582,Trimester 1,0,1,0,1,0,1,0,1,0,0,0,1,,,
11848597,Trimester 1,0,2,0,0,1,0,1,1,0,0,0,1,,,
11848600,Trimester 1,0,1,1,0,0,1,1,0,0,0,0,1,,,
11848612,Trimester 1,0,1,1,0,0,0,0,1,0,0,0,1,,,
11848618,Trimester 1,0,2,0,0,1,0,1,0,0,0,0,0,,,
11848620,Trimester 1,0,1,0,0,1,0,0,1,0,0,0,1,,,
11848622,Trimester 1,0,1,1,0,1,0,0,0,0,1,0,1,,,
11848623,Trimester 1,0,1,0,1,1,0,0,0,0,0,0,1,,,
11848643,Trimester 1,0,1,1,0,1,0,0,0,0,1,0,1,,,
11848680,Trimester 1,0,1,1,0,0,0,0,0,0,1,0,0,,,
11848681,Trimester 1,0,1,1,0,0,0,0,0,0,1,0,1,,,
11848690,Trimester 1,0,1,0,1,0,0,0,1,0,0,0,1,,,
11848704,Trimester 1,0,1,0,0,1,1,0,0,0,1,0,1,,,
11848706,Trimester 1,0,1,0,0,1,0,1,0,0,1,0,1,,,
11848712,Trimester 1,0,1,0,1,0,0,0,0,0,1,0,1,,,
